ID,ID Item,Description,Nhà sản xuất,Unit Price,Unit Price VND,Giá vốn,Chênh lệch Giá vốn,Tổng nhập,Tổng xuất,Tổng tồn,Nhà cung cấp,Year,Month,Day,Giá mặc cả,Giá mặc cả USD,Giá vốn mới,Chênh lệch Giá vốn
04465-YZZQ7,BRAKE PAD,,"3, CAMPAIGN USD SPEC",42.56,1154208,961003,20.10%,200,1324,152,HTAUTOHN,2022,September,14,912953,33.66,807923,20.10%
31230-71030,"BEARING ASSY, CLUTCH",,"3, CAMPAIGN USD SPEC",74.42,2018354,994660,102.92%,3,5,1,HTAUTOHN,2022,March,5,912000,33.63,807080,102.92%
45503-0K070,END SA STEERING RACK,,"3, CAMPAIGN USD SPEC",25.64,695315,916322,-24.12%,50,260,108,NK-IDAM,2022,July,22,870506,32.10,770359,-24.12%
31210-0K101,"COVER ASSY, CLUTCH",,"3, CAMPAIGN USD SPEC",48.46,1314277,975615,34.71%,199,2531,177,NK-IDAM,2022,April,12,862325,31.80,763119,34.71%
48510-BZ740,"ABSORBER ASSY,FR RH",,"3, CAMPAIGN USD SPEC",46.64,1264791,951199,32.97%,5,5,,NK-IDAS,2022,April,5,861356,31.76,762262,32.97%
81561-BZ240,LENS&BODY RR COMBI L,,"3, CAMPAIGN USD SPEC",23.94,649315,892500,-27.25%,1,1,,NN-CHINGUYET,2022,August,6,850000,31.34,752212,-27.25%
16363-0Y050,"MOTOR, COOLING FAN",,"3, CAMPAIGN USD SPEC",43.85,1189108,882272,34.78%,100,740,44,NK-IDAS,2022,July,26,838159,30.91,741733,34.78%
48520-BZ740,"ABSORBER ASSY,FR LH",,"3, CAMPAIGN USD SPEC",52.79,1431623,890556,60.76%,5,5,,NK-IDAS,2022,April,5,806442,29.74,713665,60.76%
37230-0K021,"BEARING A/S,CTR SUPP",,"3, CAMPAIGN USD SPEC",39.81,1079585,831339,29.86%,1,5,0,HTAUTOHN,2021,December,22,789772,29.12,698913,29.86%
31230-71052,"BEARING AS, CLUTCH RELEASE",,"3, CAMPAIGN USD SPEC",48.48,1314903,944491,39.22%,30,33,0,NK-TS,2022,February,26,785205,28.95,694872,39.22%
42431-0K100,DRUM BRAKE,,"3, CAMPAIGN USD SPEC",44.13,1196931,921292,29.92%,1,4,0,NK-IDAM,2021,November,30,778905,28.72,689296,29.92%
13011-0L020,"RING SET, PISTON",,"3, CAMPAIGN USD SPEC",36.66,994206,858189,15.85%,10,90,40,NK-IDAM,2022,May,10,753378,27.78,666706,15.85%
45503-0K040,END SA STEERING RACK,,"3, CAMPAIGN USD SPEC",38.54,1045290,782646,33.56%,20,22,,NK-IDAS,2022,August,19,743514,27.42,657977,33.56%
31250-0B021,"DISC ASSY, CLUTCH",,"3, CAMPAIGN USD SPEC",36.95,1002157,829088,20.87%,20,167,9,NK-IDAS,2022,August,19,726679,26.79,643079,20.87%
35330-71010,"STRAINER ASSY, OIL",,"3, CAMPAIGN USD SPEC",36.72,995721,747697,33.17%,2,4,1,CHPT-MINHANH,2022,May,20,710312,26.19,628594,33.17%
04465-YZZR6,MVP BRAKE PAD,,"3, CAMPAIGN USD SPEC",55.78,1512672,970216,55.91%,2,27,7,NK-TS,2022,March,29,694331,25.60,614452,55.91%
31250-0A011,"DISC ASSY, CLUTCH",,"3, CAMPAIGN USD SPEC",35.17,953777,778652,22.49%,180,948,159,NK-IDAS,2022,August,19,691629,25.50,612061,22.49%
81561-0K210,LENS&BODY RR COMBI L,,"3, CAMPAIGN USD SPEC",33.75,915300,781888,17.06%,159,475,109,NK-TRISTAN,2021,August,5,690329,25.45,610911,17.06%
81551-0K240,LENS&BODY RR COMBI R,,"3, CAMPAIGN USD SPEC",36.92,1001354,711479,40.74%,10,153,3,NK-IDAM,2022,September,12,675905,24.92,598146,40.74%
13103-75120,"PISTON SUB-ASSY,",,"3, CAMPAIGN USD SPEC",28.27,766662,699412,9.62%,1,34,0,HTAUTOHN,2022,August,31,664441,24.50,588001,9.62%
48820-0D020,"LINK ASSY, FR STABIL",,"3, CAMPAIGN USD SPEC",28.06,761029,789621,-3.62%,20,26,8,NK-TS,2022,February,26,655566,24.17,580147,-3.62%
31210-0A010,"COVER ASSY, CLUTCH",,"3, CAMPAIGN USD SPEC",33.75,915300,729658,25.44%,113,610,137,NK-IDAS,2022,July,26,632381,23.32,559629,25.44%
13011-0C030,"RING SET, PISTON",,"3, CAMPAIGN USD SPEC",42.98,1165638,739049,57.72%,6,177,33,NK-IDAS,2022,August,19,632021,23.30,559310,57.72%
12305-0Y060,INSULATOR S/A E/G RH,,"3, CAMPAIGN USD SPEC",29.42,797954,690266,15.60%,5,10,0,NK-IDAS,2022,April,5,625069,23.05,553158,15.60%
43330-09510,"JOINT ASSY, LWR BALL",,"3, CAMPAIGN USD SPEC",38.37,1040469,690912,50.59%,35,192,38,NK-CHI,2022,July,1,622868,22.97,551210,50.59%
48510-09Y40,ABSORBER SET FR RH,,"3, CAMPAIGN USD SPEC",31.44,852715,742792,14.80%,1,32,4,NK-IDAM,2022,July,22,610905,22.53,540624,14.80%
48520-09R50,ABSORBER SET FR LH,,"3, CAMPAIGN USD SPEC",31.44,852715,738816,15.42%,2,34,0,NK-IDAM,2022,July,22,610905,22.53,540624,15.42%
04465-YZZQ6-82,"PAD KIT,DISC BRAKE F",,"3, CAMPAIGN USD SPEC",30.58,829246,688241,20.49%,235,1056,117,NK-TRISTAN,2022,April,21,606208,22.35,536468,20.49%
27415-0L030,"PULLEY, ALTERNATOR W",,"3, CAMPAIGN USD SPEC",42.05,1140386,626478,82.03%,100,1160,231,HTAUTOHN,2022,September,14,595154,21.95,526685,82.03%
13568-39016,"BELT, TIMING",,"3, CAMPAIGN USD SPEC",32.71,887225,598350,48.28%,5,37,0,HTAUTOHN,2022,March,8,568433,20.96,503038,48.28%
13011-0C010,"RING SET, PISTON",,"3, CAMPAIGN USD SPEC",23.97,650158,573071,13.45%,50,1115,294,NK-IDAS,2022,July,26,544417,20.07,481785,13.45%
23390-51070,"ELEMENT ASSY, FUEL",,"3, CAMPAIGN USD SPEC",29.31,794814,532923,49.14%,2,2,,HTAUTOHN,2022,May,14,470250,17.34,416150,49.14%
17801-31120,"ELEMENT SUB-ASSY,",,"3, CAMPAIGN USD SPEC",23.96,649674,531859,22.15%,5,4,1,NCC-KHANGTHANG,2022,February,24,465500,17.16,411947,22.15%
13101-75120,"PISTON SUB-ASSY,",,"3, CAMPAIGN USD SPEC",23.37,633669,541872,16.94%,47,216,1,NK-IDAM,2021,November,2,458997,16.92,406192,16.94%
48531-09430,"ABSORBER A/S, RR",,"3, CAMPAIGN USD SPEC",22.50,610200,451225,35.23%,200,3488,170,NCC-LIENVIET,2022,August,31,428664,15.81,379349,35.23%
48531-09A50,"ABSORBER SET, REAR",,"3, CAMPAIGN USD SPEC",22.50,610200,448945,35.92%,100,4661,38,HTAUTOHN,2022,August,31,426498,15.73,377431,35.92%
04371-0K110,"SPIDER KIT, UNIVERSA",,"3, CAMPAIGN USD SPEC",31.09,843194,483221,74.49%,100,230,0,NK-TS,2022,February,26,399268,14.72,353334,74.49%
31210-0D190,"COVER ASSY, CLUTCH",,"3, CAMPAIGN USD SPEC",22.79,618023,462900,33.51%,20,140,3,NK-IDAS,2022,August,19,395265,14.57,349792,33.51%
48530-8Z036,"ABSORBER ASSY, RR",,"3, CAMPAIGN USD SPEC",22.50,610200,444072,37.41%,150,1681,384,NK-IDAS,2022,August,19,390911,14.41,345939,37.41%
04495-YZZZ2,BRAKE SHOE,,"3, CAMPAIGN USD SPEC",17.12,464401,381996,21.57%,50,732,1,NK-IDAS,2022,July,26,362896,13.38,321147,21.57%
90919-T2011,"COIL, IGNITION",,"3, CAMPAIGN USD SPEC",23.94,649315,409861,58.42%,100,570,22,NK-IDAM,2021,November,30,361542,13.33,319948,58.42%
17801-0L050,ELEMENT SA AIRFILTER,,"3, CAMPAIGN USD SPEC",15.41,417946,373176,12.00%,1,175,17,NK-IDAM,2022,July,22,354518,13.07,313732,12.00%
48500-09020,ABSORBER A/S FR R/L,,"3, CAMPAIGN USD SPEC",15.19,411968,347360,18.60%,50,221,112,NK-IDAM,2022,September,12,329992,12.17,292028,18.60%
13559-0C030,"SLIPPER, CHAIN TENSI",,"3, CAMPAIGN USD SPEC",20.77,563262,359157,56.83%,12,65,20,NCC-THAILAND,2022,August,29,319865,11.79,283066,56.83%
04465-YZZZ1,"PAD KIT, DISC BRK FR",,"3, CAMPAIGN USD SPEC",13.76,373217,316938,17.76%,20,101,45,NK-IDAS,2022,July,26,301091,11.10,266453,17.76%
90916-T2033,"BELT, V-RIBBED",,"3, CAMPAIGN USD SPEC",80.77,2190462,377056,480.94%,50,198,3,NCC-THAILAND,2022,April,5,297525,10.97,263296,480.94%
90363-T0008,"BEARING, RADIAL BALL",,"3, CAMPAIGN USD SPEC",12.60,341712,322511,5.95%,14,144,36,NK-IDAS,2022,July,26,295772,10.91,261745,5.95%
43350-09040,JOINT A/S UPPER BALL,,"3, CAMPAIGN USD SPEC",12.98,352038,310869,13.24%,2,2,0,CHPT-MINHANH,2022,August,19,275500,10.16,243805,13.24%
17801-YZZA1,ELEMENT SA AIRFILTER,,"3, CAMPAIGN USD SPEC",15.04,407774,313916,29.90%,400,410,302,NK-IDAM,2021,August,4,272996,10.07,241589,29.90%
48609-0K020,SUPPORT S/A FR SUSP,,"3, CAMPAIGN USD SPEC",12.73,345217,308389,11.94%,10,106,22,NK-IDAM,2022,July,22,267438,9.86,236671,11.94%
43330-09110,JOINT ASSY LWR BALL,,"3, CAMPAIGN USD SPEC",14.27,387040,279835,38.31%,4,18,2,NK-IDAS,2022,July,26,265843,9.80,235260,38.31%
90916-T2026,"BELT,V-RIBBED",,"3, CAMPAIGN USD SPEC",14.13,383331,268701,42.66%,65,642,246,NK-IDAM,2022,September,12,255140,9.41,225787,42.66%
12305-0C050,"INSULATOR SUB-ASSY,",,"3, CAMPAIGN USD SPEC",14.90,404088,302493,33.59%,30,79,59,NK-CHI,2021,July,9,251748,9.28,222786,33.59%
90916-T2039,"BELT, V-RIBBED",,"3, CAMPAIGN USD SPEC",15.29,414623,278982,48.62%,200,2292,236,NK-IDAM,2022,July,22,232779,8.58,206000,48.62%
11115-0Y030,GASKET CYLINDER HEAD,,"3, CAMPAIGN USD SPEC",10.04,272243,247244,10.11%,10,45,8,NK-IDAS,2022,July,26,225770,8.32,199797,10.11%
11115-06010,GASKET CYLINDER HEAD,,"3, CAMPAIGN USD SPEC",11.25,305100,235659,29.47%,20,106,51,NK-IDAS,2022,July,26,218394,8.05,193269,29.47%
13715-0C010,"VALVE, EXHAUST",,"3, CAMPAIGN USD SPEC",11.25,305100,193960,57.30%,15,18,14,NCC-THAILAND,2022,April,5,154766,5.71,136961,57.30%
90916-T2028,"BELT, V-RIBBED",,"3, CAMPAIGN USD SPEC",28.19,764468,192804,296.50%,40,664,276,NCC-THAILAND,2022,May,31,153057,5.64,135449,296.50%
08889-80280,LONG LIFE COOLANT 4L,,"3, CAMPAIGN USD SPEC",7.50,203400,146241,39.09%,1440,7643,2989,NK-IDAM,2022,September,12,138929,5.12,122946,39.09%
48815-0K090,"BUSH, STABILIZER",,"3, CAMPAIGN USD SPEC",3.27,88766,114860,-22.72%,10,18,0,HTAUTOHN,2021,February,2,109117,4.02,96564,-22.72%
13711-0C010,"VALVE, INTAKE",,"3, CAMPAIGN USD SPEC",6.32,171378,132163,29.67%,10,20,0,NCC-THAILAND,2022,April,2,101398,3.74,89733,29.67%
16571-0C080,"HOSE RADIATOR, NO. 1",,"3, CAMPAIGN USD SPEC",9.52,258162,108297,138.38%,10,97,3,NCC-THAILAND,2022,August,29,88445,3.26,78270,138.38%
99332-51030,"BELT V, AC",,"3, CAMPAIGN USD SPEC",3.98,107818,88788,21.43%,140,317,165,NK-IDAM,2021,December,15,79396,2.93,70262,21.43%
90080-92023,BELT.V(7K),,"3, CAMPAIGN USD SPEC",3.98,107958,83360,29.51%,200,598,346,NK-IDAS,2022,July,26,77343,2.85,68445,29.51%
90080-92014,BELT V,,"3, CAMPAIGN USD SPEC",3.35,90748,67495,34.45%,100,593,318,NK-IDAM,2022,September,12,64120,2.36,56743,34.45%
90915-YZZZ2,OIL FILTER,,"3, CAMPAIGN USD SPEC",2.04,55428,45776,21.09%,20,478,2,NK-IDAM,2022,May,10,42317,1.56,37448,21.09%
90082-93003,BELT V (COOLING SYS),,"3, CAMPAIGN USD SPEC",1.53,41469,34727,19.41%,100,527,177,NK-IDAS,2022,July,26,30178,1.11,26706,19.41%
90080-91232,BELT V RIBBED,,"3, CAMPAIGN USD SPEC",2.54,68843,41877,64.39%,20,25,11,NK-TS,2022,February,26,22886,0.84,20253,64.39%
90385-T0004,BUSH,,"3, CAMPAIGN USD SPEC",0.98,26598,20450,30.07%,80,463,46,CHPT-MINHANH,2022,June,20,19427,0.72,17192,30.07%
90080-38070,BUSH,,"3, CAMPAIGN USD SPEC",0.52,14082,10471,34.48%,200,904,438,NK-IDAS,2022,July,26,9389,0.35,8309,34.48%
48510-8Z244,"ABSORBER SET, FR RH",,"3, CAMPAIGN USD SPEC",29.82,808637,678020,19.26%,2,3850,0,GIANGDAO,2022,September,9,0,0.00,0,19.26%
