ID,Nhà cung cấp,Ngày nhập gần đây,Đơn giá nhập,Tổng nhập,ID Khach hang,Ngày,Đơn giá MIN,Tổng nhập
FN2378,HTAUTOHN,2022-01-20 00:00:00,360000,3,HTAUTOHN,2022-01-20 00:00:00,360000,3
27060-0Y300,NCC-THAILAND,2022-01-21 00:00:00,5701300,2,NCC-THAILAND,2022-01-21 00:00:00,5701300,2
90313-T0002,NCC-THAILAND,2022-01-21 00:00:00,56800,5,NCC-THAILAND,2022-01-21 00:00:00,56800,5
89516-0D270,HTAUTOHN,2022-01-22 00:00:00,400000,1,HTAUTOHN,2022-01-22 00:00:00,400000,1
90311-71002-A,CHPT-MINHANH,2022-01-22 00:00:00,150000,3,CHPT-MINHANH,2022-01-22 00:00:00,150000,3
T21C05E,HTAUTOHN,2022-01-22 00:00:00,20000,10,HTAUTOHN,2022-01-22 00:00:00,20000,10
T21C05F,HTAUTOHN,2022-01-22 00:00:00,16000,30,HTAUTOHN,2022-01-22 00:00:00,16000,30
T21Z141F0,HTAUTOHN,2022-01-22 00:00:00,16000,20,HTAUTOHN,2022-01-22 00:00:00,16000,20
22116785711,NCC-KHANGTHANG,2022-01-25 00:00:00,1980000,1,NCC-KHANGTHANG,2022-01-25 00:00:00,1980000,1
22116785712,NCC-KHANGTHANG,2022-01-25 00:00:00,1980000,1,NCC-KHANGTHANG,2022-01-25 00:00:00,1980000,1
22316786566,NCC-KHANGTHANG,2022-01-25 00:00:00,1350000,1,NCC-KHANGTHANG,2022-01-25 00:00:00,1350000,1
23221-66040,CHPT-MINHANH,2022-01-25 00:00:00,3800000,1,CHPT-MINHANH,2022-01-25 00:00:00,3800000,1
31106786951,NCC-KHANGTHANG,2022-01-25 00:00:00,650000,2,NCC-KHANGTHANG,2022-01-25 00:00:00,650000,2
31306784164,NCC-KHANGTHANG,2022-01-25 00:00:00,1000000,1,NCC-KHANGTHANG,2022-01-25 00:00:00,1000000,1
31306787163,NCC-KHANGTHANG,2022-01-25 00:00:00,1000000,1,NCC-KHANGTHANG,2022-01-25 00:00:00,1000000,1
31306852158,NCC-KHANGTHANG,2022-01-25 00:00:00,1050000,2,NCC-KHANGTHANG,2022-01-25 00:00:00,1050000,2
31316796315,NCC-KHANGTHANG,2022-01-25 00:00:00,5450000,1,NCC-KHANGTHANG,2022-01-25 00:00:00,5450000,1
31316796316,NCC-KHANGTHANG,2022-01-25 00:00:00,5450000,1,NCC-KHANGTHANG,2022-01-25 00:00:00,5450000,1
31336787104,NCC-KHANGTHANG,2022-01-25 00:00:00,600000,2,NCC-KHANGTHANG,2022-01-25 00:00:00,600000,2
31508743675,NCC-KHANGTHANG,2022-01-25 00:00:00,290000,1,NCC-KHANGTHANG,2022-01-25 00:00:00,290000,1
12305-0T120,HTAUTOHN,2022-01-27 00:00:00,1960000,1,HTAUTOHN,2022-01-27 00:00:00,1960000,1
HT-CN,HTAUTOHN,2022-02-09 00:00:00,250000,1,HTAUTOHN,2022-02-09 00:00:00,250000,1
22204-0P010,CHPT-MINHANH,2022-02-10 00:00:00,790000,1,CHPT-MINHANH,2022-02-10 00:00:00,790000,1
3A-2-3971R,NN-TOANY,2022-02-10 00:00:00,1800000,1,NN-TOANY,2022-02-10 00:00:00,1800000,1
LT-TY6268A,NN-QUANGDEN,2022-02-10 00:00:00,300000,1,NN-QUANGDEN,2022-02-10 00:00:00,300000,1
48750-06260,HTAUTOHN,2022-02-11 00:00:00,990000,1,HTAUTOHN,2022-02-11 00:00:00,990000,1
48815-28130,HTAUTOHN,2022-02-11 00:00:00,200000,2,HTAUTOHN,2022-02-11 00:00:00,200000,2
ZA-50TKB3501BR,THANHDUC,2022-02-11 00:00:00,300000,2,THANHDUC,2022-02-11 00:00:00,300000,2
04003-45450,NCC-KHANGTHANG,2022-02-12 00:00:00,22700000,1,NCC-KHANGTHANG,2022-02-12 00:00:00,22700000,1
E181-39-050A,NCC-MANHTUNG,2022-02-15 00:00:00,1000000,1,NCC-MANHTUNG,2022-02-15 00:00:00,1000000,1
E181-39-060,NCC-MANHTUNG,2022-02-15 00:00:00,2000000,1,NCC-MANHTUNG,2022-02-15 00:00:00,2000000,1
E181-39-070,NCC-MANHTUNG,2022-02-15 00:00:00,1500000,1,NCC-MANHTUNG,2022-02-15 00:00:00,1500000,1
E182-39-040,NCC-MANHTUNG,2022-02-15 00:00:00,1500000,1,NCC-MANHTUNG,2022-02-15 00:00:00,1500000,1
ET55-41-660A,NCC-MANHTUNG,2022-02-15 00:00:00,1600000,1,NCC-MANHTUNG,2022-02-15 00:00:00,1600000,1
FU0119241A,NCC-MANHTUNG,2022-02-15 00:00:00,550000,1,NCC-MANHTUNG,2022-02-15 00:00:00,550000,1
L33615909BMC,NCC-MANHTUNG,2022-02-15 00:00:00,550000,1,NCC-MANHTUNG,2022-02-15 00:00:00,550000,1
LF01-11-310,HTAUTOHN,2022-02-15 00:00:00,790000,1,HTAUTOHN,2022-02-15 00:00:00,790000,1
37230-29015,HTAUTOHN,2022-02-16 00:00:00,1710000,1,HTAUTOHN,2022-02-16 00:00:00,1710000,1
48609-06170,HTAUTOHN,2022-02-17 00:00:00,783000,1,HTAUTOHN,2022-02-17 00:00:00,1566000,2
90311-71001-A,HTAUTOHN,2022-02-17 00:00:00,100000,3,HTAUTOHN,2022-02-17 00:00:00,100000,3
GV9B-34-460,DAIDUONG,2022-02-17 00:00:00,160000,2,DAIDUONG,2022-02-17 00:00:00,160000,2
KD35-34-170,DAIDUONG,2022-02-17 00:00:00,400000,2,DAIDUONG,2022-02-17 00:00:00,400000,2
12363-20090,HTAUTOHN,2022-02-18 00:00:00,1250000,1,HTAUTOHN,2022-02-18 00:00:00,1250000,1
17118672104,NCC-NAMCHAU,2022-02-18 00:00:00,3800000,1,NCC-NAMCHAU,2022-02-18 00:00:00,3800000,1
