ID,Nhà cung cấp,Ngày nhập gần đây,Đơn giá nhập,Tổng nhập,ID Khach hang,Ngày,Đơn giá MIN,Tổng nhập
15330-50011,HTAUTOHN,2022-05-11 00:00:00,1305000,1,HTAUTOHN,2022-05-11 00:00:00,1305000,1
15340-50011,HTAUTOHN,2022-05-11 00:00:00,1125000,1,HTAUTOHN,2022-05-11 00:00:00,1125000,1
BP1010,QUANGVU,2022-05-11 00:00:00,240000,2,QUANGVU,2022-05-11 00:00:00,240000,2
BP2845,QUANGVU,2022-05-11 00:00:00,250000,2,QUANGVU,2022-05-11 00:00:00,250000,2
90311-40041,CHPT-MINHANH,2022-05-12 00:00:00,80000,2,NCC-THAILAND,2022-04-02 00:00:00,73029,1
04465-YZZR3,NK-CHI,2022-05-13 00:00:00,833976,20,NK-CHI,2022-05-13 00:00:00,833976,20
04465-YZZS1,NK-CHI,2022-05-13 00:00:00,822744,20,NK-CHI,2022-05-13 00:00:00,822744,20
12361-0D030,NK-CHI,2022-05-13 00:00:00,414180,5,NK-TS,2022-02-26 00:00:00,379119,5
12361-0L030,NK-CHI,2022-05-13 00:00:00,290628,40,NK-CHI,2022-05-13 00:00:00,290628,40
12371-0D050,NK-CHI,2022-05-13 00:00:00,532116,1,NK-CHI,2022-05-13 00:00:00,532116,1
12371-0L031,NK-CHI,2022-05-13 00:00:00,341172,8,NK-CHI,2022-05-13 00:00:00,341172,8
12371-0L180,NK-CHI,2022-05-13 00:00:00,431028,1,NK-CHI,2022-05-13 00:00:00,431028,1
13506-0D030,NK-CHI,2022-05-13 00:00:00,603720,2,NK-CHI,2022-05-13 00:00:00,603720,2
17893-0T080,NK-CHI,2022-05-13 00:00:00,600912,1,NK-CHI,2022-05-13 00:00:00,600912,1
27060-0C021,NK-CHI,2022-05-13 00:00:00,5157594,5,NK-CHI,2022-05-13 00:00:00,5157594,5
27060-0L022,NK-CHI,2022-05-13 00:00:00,5398380,1,NK-CHI,2022-05-13 00:00:00,5398380,1
28100-0C031,NK-CHI,2022-05-13 00:00:00,3060018,1,NK-CHI,2022-05-13 00:00:00,3060018,1
33820-0D630,NK-CHI,2022-05-13 00:00:00,1053000,1,NK-CHI,2022-05-13 00:00:00,1053000,1
37230-09010,NK-CHI,2022-05-13 00:00:00,965250,3,NK-CHI,2022-05-13 00:00:00,965250,3
42423-0K020,NK-CHI,2022-05-13 00:00:00,170586,1,NK-CHI,2022-05-13 00:00:00,170586,1
43022-TR0-001,KL-DUCPHAT-Q5,2022-05-13 00:00:00,500000,2,KL-DUCPHAT-Q5,2022-05-13 00:00:00,500000,2
43330-09681,NK-CHI,2022-05-13 00:00:00,592488,10,NK-CHI,2022-05-13 00:00:00,592488,10
44320-06070,NK-CHI,2022-05-13 00:00:00,3208140,1,NK-CHI,2022-05-13 00:00:00,3208140,1
45022-SHJ-A01-A,KL-DUCPHAT-Q5,2022-05-13 00:00:00,600000,2,KL-DUCPHAT-Q5,2022-05-13 00:00:00,600000,2
45046-09800,NK-CHI,2022-05-13 00:00:00,307476,2,NK-CHI,2022-05-13 00:00:00,307476,2
45503-0B020,NK-CHI,2022-05-13 00:00:00,759564,2,NK-CHI,2022-05-13 00:00:00,759564,2
45503-0K130,NK-CHI,2022-05-13 00:00:00,1025622,4,NK-CHI,2022-05-13 00:00:00,1025622,4
48068-02260,NK-CHI,2022-05-13 00:00:00,661284,15,NK-CHI,2022-05-13 00:00:00,661284,15
48068-09081,NK-CHI,2022-05-13 00:00:00,2141802,10,NK-CHI,2022-05-13 00:00:00,2141802,10
48068-0K010,NK-CHI,2022-05-13 00:00:00,2207088,2,NK-CHI,2022-05-13 00:00:00,2207088,2
48069-09071,NK-CHI,2022-05-13 00:00:00,2141802,6,NK-CHI,2022-05-13 00:00:00,2141802,6
48069-09261,NK-CHI,2022-05-13 00:00:00,2275884,11,NK-CHI,2022-05-13 00:00:00,2275884,11
48069-0K010,NK-CHI,2022-05-13 00:00:00,2207088,4,NK-CHI,2022-05-13 00:00:00,2207088,4
48069-0K090,NK-CHI,2022-05-13 00:00:00,1914354,3,NK-CHI,2022-05-13 00:00:00,1914354,3
48510-8Z211,NK-CHI,2022-05-13 00:00:00,1199016,8,NK-CHI,2022-05-13 00:00:00,1199016,8
48520-8Z076,NK-CHI,2022-05-13 00:00:00,1206738,2,NK-CHI,2022-05-13 00:00:00,1206738,2
48530-09B70,NK-CHI,2022-05-13 00:00:00,611442,25,NK-CHI,2022-05-13 00:00:00,611442,25
48531-09490,NK-CHI,2022-05-13 00:00:00,546156,10,NK-CHI,2022-05-13 00:00:00,546156,10
48540-09380,NK-CHI,2022-05-13 00:00:00,1464372,20,NK-CHI,2022-05-13 00:00:00,1464372,20
87107-02290,NK-CHI,2022-05-13 00:00:00,546858,1,NK-CHI,2022-05-13 00:00:00,546858,1
89542-0K020,NK-CHI,2022-05-13 00:00:00,1820988,1,NK-CHI,2022-05-13 00:00:00,1820988,1
90311-38086,NK-CHI,2022-05-13 00:00:00,109512,7,NK-CHI,2022-05-13 00:00:00,109512,7
90311-48031,NK-CHI,2022-05-13 00:00:00,106704,1,NK-CHI,2022-05-13 00:00:00,106704,1
90366-T0010,NK-CHI,2022-05-13 00:00:00,310284,4,NK-CHI,2022-05-13 00:00:00,310284,4
90366-T0062,NK-CHI,2022-05-13 00:00:00,496314,1,NK-CHI,2022-05-13 00:00:00,496314,1
90366-T0065,NK-CHI,2022-05-13 00:00:00,669006,1,NK-CHI,2022-05-13 00:00:00,669006,1
D2441XP,NK-CHI,2022-05-13 00:00:00,58968,104,NK-CHI,2022-05-13 00:00:00,58968,104
SL-6380L,QUANGVU,2022-05-13 00:00:00,210000,5,QUANGVU,2022-05-13 00:00:00,210000,5
SL-6380R,QUANGVU,2022-05-13 00:00:00,210000,5,QUANGVU,2022-05-13 00:00:00,210000,5
T1024L,NK-CHI,2022-05-13 00:00:00,195156,10,NK-CHI,2022-05-13 00:00:00,195156,10
T1411E,NK-CHI,2022-05-13 00:00:00,54756,102,NCC-THAILAND,2022-04-25 00:00:00,54230,24
T14SV41E,NK-CHI,2022-05-13 00:00:00,124956,10,NK-CHI,2022-05-13 00:00:00,124956,10
T18VG0R0,NK-CHI,2022-05-13 00:00:00,77922,30,NK-CHI,2022-05-13 00:00:00,77922,30
T21C04E00,NK-CHI,2022-05-13 00:00:00,11934,40,NK-CHI,2022-05-13 00:00:00,11934,40
T24C02WB,NK-CHI,2022-05-13 00:00:00,94068,12,NK-CHI,2022-05-13 00:00:00,94068,12
T25C04S,NK-CHI,2022-05-13 00:00:00,54756,8,NK-CHI,2022-05-13 00:00:00,54756,8
T25C05E0,NK-CHI,2022-05-13 00:00:00,70200,8,NK-CHI,2022-05-13 00:00:00,70200,8
T25VG041,NK-CHI,2022-05-13 00:00:00,70200,10,NK-CHI,2022-05-13 00:00:00,70200,10
T25VG043,NK-CHI,2022-05-13 00:00:00,132678,20,NK-CHI,2022-05-13 00:00:00,132678,20
T25VG044,NK-CHI,2022-05-13 00:00:00,132678,32,NK-CHI,2022-05-13 00:00:00,132678,32
T25YA91E,NK-CHI,2022-05-13 00:00:00,155844,4,NK-CHI,2022-05-13 00:00:00,155844,4
T3047X2,NK-CHI,2022-05-13 00:00:00,144612,20,NK-CHI,2022-05-13 00:00:00,144612,20
TY308-42A-S,HUNGUUTHINH,2022-05-13 00:00:00,800000,1,HUNGUUTHINH,2022-05-13 00:00:00,800000,1
13505-50030,CHPT-MINHANH,2022-05-14 00:00:00,760000,2,CHPT-MINHANH,2022-04-02 00:00:00,740000,1
16341-05020,CHPT-ANNHIEN,2022-05-14 00:00:00,50000,1,CHPT-ANNHIEN,2022-05-14 00:00:00,50000,1
23390-51070,HTAUTOHN,2022-05-14 00:00:00,495000,2,HTAUTOHN,2022-05-14 00:00:00,495000,2
SE-1651L,HTAUTOHN,2022-05-14 00:00:00,205000,1,HTAUTOHN,2022-05-14 00:00:00,205000,1
SE-1651R,HTAUTOHN,2022-05-14 00:00:00,205000,1,HTAUTOHN,2022-05-14 00:00:00,205000,1
NSD-104,TRANGSG,2022-05-16 00:00:00,950000,1,TRANGSG,2022-05-16 00:00:00,950000,1
TO-005YN,NCC-HUNGCUONG,2022-05-16 00:00:00,950000,2,NCC-HUNGCUONG,2022-05-16 00:00:00,950000,2
89615-20090,CHPT-MINHANH,2022-05-17 00:00:00,1650000,2,CHPT-MINHANH,2022-05-17 00:00:00,1650000,2
T25C03E,HTAUTOHN,2022-05-17 00:00:00,684000,1,HTAUTOHN,2022-05-17 00:00:00,684000,1
04466-0K010,CHPT-MINHANH,2022-05-18 00:00:00,1060000,1,CHPT-MINHANH,2022-04-23 00:00:00,1060000,1
04466-0K010,CHPT-MINHANH,2022-05-18 00:00:00,1060000,1,CHPT-MINHANH,2022-05-18 00:00:00,1060000,1
16321-21020,HTAUTOHN,2022-05-18 00:00:00,250000,1,HTAUTOHN,2022-03-05 00:00:00,185000,3
16321-21020,HTAUTOHN,2022-05-18 00:00:00,250000,1,HTAUTOHN,2022-03-18 00:00:00,185000,3
35960/050,HTAUTOHN,2022-05-18 00:00:00,306000,1,HTAUTOHN,2022-05-18 00:00:00,306000,1
35960/STD,HTAUTOHN,2022-05-18 00:00:00,335000,6,HTAUTOHN,2022-04-23 00:00:00,320000,15
SRI-3600,QUANGVU,2022-05-18 00:00:00,160000,10,QUANGVU,2022-05-18 00:00:00,160000,10
13559-36010,HTAUTOHN,2022-05-19 00:00:00,441000,2,HTAUTOHN,2022-03-28 00:00:00,441000,1
13559-36010,HTAUTOHN,2022-05-19 00:00:00,441000,2,HTAUTOHN,2022-04-19 00:00:00,441000,1
13559-36010,HTAUTOHN,2022-05-19 00:00:00,441000,2,HTAUTOHN,2022-04-27 00:00:00,441000,1
13559-36010,HTAUTOHN,2022-05-19 00:00:00,441000,2,HTAUTOHN,2022-05-10 00:00:00,441000,1
13559-36010,HTAUTOHN,2022-05-19 00:00:00,441000,2,HTAUTOHN,2022-05-19 00:00:00,441000,2
13561-36010,CHPT-MINHANH,2022-05-19 00:00:00,550000,2,CHPT-MINHANH,2022-05-19 00:00:00,550000,2
51320-TR0-A01,KL-DUCPHAT-Q5,2022-05-19 00:00:00,200000,4,KL-DUCPHAT-Q5,2022-05-19 00:00:00,200000,4
PF48F,NCC-KHANGTHANG,2022-05-19 00:00:00,180000,12,NCC-KHANGTHANG,2022-05-19 00:00:00,180000,12
SR-T830,QUANGVU,2022-05-19 00:00:00,200000,10,QUANGVU,2022-05-19 00:00:00,200000,10
06E103547AC,NCC-KHANGTHANG,2022-05-20 00:00:00,2100000,1,NCC-KHANGTHANG,2022-05-20 00:00:00,2100000,1
11115-22050,CHPT-MINHANH,2022-05-20 00:00:00,500000,2,CHPT-MINHANH,2022-05-20 00:00:00,500000,2
11115-37061,CHPT-MINHANH,2022-05-20 00:00:00,520000,3,CHPT-MINHANH,2022-05-20 00:00:00,520000,3
11115-75040,CHPT-MINHANH,2022-05-20 00:00:00,400000,2,CHPT-MINHANH,2022-03-28 00:00:00,380000,10
11193-37020,CHPT-MINHANH,2022-05-20 00:00:00,30000,20,CHPT-MINHANH,2022-05-20 00:00:00,30000,20
12305-0C011,CHPT-MINHANH,2022-05-20 00:00:00,510000,4,CHPT-MINHANH,2022-05-20 00:00:00,510000,4
12361-31171,CHPT-MINHANH,2022-05-20 00:00:00,1850000,1,CHPT-MINHANH,2022-05-20 00:00:00,1850000,1
13507-28010,CHPT-MINHANH,2022-05-20 00:00:00,540000,2,CHPT-MINHANH,2022-05-20 00:00:00,540000,2
16100-39436,CHPT-MINHANH,2022-05-20 00:00:00,2060000,1,NK-TS,2022-03-29 00:00:00,1728931,1
16100-39506,CHPT-MINHANH,2022-05-20 00:00:00,2510000,1,CHPT-MINHANH,2022-05-20 00:00:00,2510000,1
16100-39555,CHPT-MINHANH,2022-05-20 00:00:00,1900000,1,CHPT-MINHANH,2022-05-20 00:00:00,1900000,1
35330-71010,CHPT-MINHANH,2022-05-20 00:00:00,800000,2,CHPT-MINHANH,2022-05-20 00:00:00,800000,2
3DACF026F-24HS-AM,CHPT-MINHANH,2022-05-20 00:00:00,1170000,8,CHPT-MINHANH,2022-05-20 00:00:00,1170000,8
42450-52061,CHPT-MINHANH,2022-05-20 00:00:00,2850000,1,CHPT-MINHANH,2022-05-20 00:00:00,2850000,1
44310-06130,CHPT-MINHANH,2022-05-20 00:00:00,5000000,1,NK-CHI,2022-05-13 00:00:00,3569670,5
48674-0B020,CHPT-MINHANH,2022-05-20 00:00:00,35000,20,CHPT-MINHANH,2022-05-20 00:00:00,35000,20
48818-21030,CHPT-MINHANH,2022-05-20 00:00:00,105000,10,CHPT-MINHANH,2022-05-20 00:00:00,105000,10
68950-0K211,CHPT-MINHANH,2022-05-20 00:00:00,450000,1,CHPT-MINHANH,2022-04-21 00:00:00,450000,1
68950-0K211,CHPT-MINHANH,2022-05-20 00:00:00,450000,1,CHPT-MINHANH,2022-05-20 00:00:00,450000,1
68960-0K211,CHPT-MINHANH,2022-05-20 00:00:00,450000,1,CHPT-MINHANH,2022-04-21 00:00:00,450000,1
68960-0K211,CHPT-MINHANH,2022-05-20 00:00:00,450000,1,CHPT-MINHANH,2022-05-20 00:00:00,450000,1
77024-52171,CHPT-MINHANH,2022-05-20 00:00:00,1400000,2,CHPT-MINHANH,2022-05-20 00:00:00,1400000,2
90919-01253,CHPT-MINHANH,2022-05-20 00:00:00,215000,17,CHPT-MINHANH,2022-05-20 00:00:00,215000,17
T24RV04WB,QUANGVU,2022-05-20 00:00:00,200000,2,QUANGVU,2022-05-20 00:00:00,200000,2
VAPC-BNP,HUNGUUTHINH,2022-05-20 00:00:00,400000,1,HUNGUUTHINH,2022-05-20 00:00:00,400000,1
06E-121-065N,NCC-NAMCHAU,2022-05-21 00:00:00,800000,1,NCC-NAMCHAU,2022-05-21 00:00:00,800000,1
12361-50170,HTAUTOHN,2022-05-21 00:00:00,2520000,2,HTAUTOHN,2022-05-21 00:00:00,2520000,2
90913-02096,CHPT-MINHANH,2022-05-21 00:00:00,8000,12,CHPT-MINHANH,2022-05-21 00:00:00,8000,12
90947-T2005,HTAUTOHN,2022-05-21 00:00:00,468000,2,HTAUTOHN,2022-05-21 00:00:00,468000,2
99366-H1810,CHPT-MINHANH,2022-05-21 00:00:00,950000,1,NCC-THAILAND,2022-04-02 00:00:00,835625,1
04111-38083,NCC-KHANGTHANG,2022-05-23 00:00:00,7700000,1,NCC-KHANGTHANG,2022-05-23 00:00:00,7700000,1
04465-YZZF8,CHPT-MINHANH,2022-05-23 00:00:00,1350000,2,NK-TS,2022-02-26 00:00:00,1005216,19
1K0955455,NCC-KHANGTHANG,2022-05-23 00:00:00,150000,1,NCC-KHANGTHANG,2022-05-23 00:00:00,150000,1
50820-T0C-003,KL-DUCPHAT-Q5,2022-05-23 00:00:00,1100000,1,KL-DUCPHAT-Q5,2022-05-23 00:00:00,1100000,1
51320-TF0-A01,KL-DUCPHAT-Q5,2022-05-23 00:00:00,200000,2,KL-DUCPHAT-Q5,2022-05-23 00:00:00,200000,2
81561-42100,CHPT-ANNHIEN,2022-05-23 00:00:00,2350000,1,CHPT-ANNHIEN,2022-05-23 00:00:00,2350000,1
90913-02105,CHPT-MINHANH,2022-05-23 00:00:00,8000,16,CHPT-MINHANH,2022-05-21 00:00:00,8000,8
90913-02105,CHPT-MINHANH,2022-05-23 00:00:00,8000,16,CHPT-MINHANH,2022-05-23 00:00:00,8000,16
N0160276,NCC-KHANGTHANG,2022-05-23 00:00:00,110000,1,NCC-KHANGTHANG,2022-05-23 00:00:00,110000,1
SLK-8140,QUANGVU,2022-05-23 00:00:00,180000,10,QUANGVU,2022-04-07 00:00:00,180000,10
SLK-8140,QUANGVU,2022-05-23 00:00:00,180000,10,QUANGVU,2022-04-25 00:00:00,180000,10
SLK-8140,QUANGVU,2022-05-23 00:00:00,180000,10,QUANGVU,2022-05-11 00:00:00,180000,10
SLK-8140,QUANGVU,2022-05-23 00:00:00,180000,10,QUANGVU,2022-05-23 00:00:00,180000,10
13101-38091,CHPT-MINHANH,2022-05-24 00:00:00,1000000,4,CHPT-MINHANH,2022-05-24 00:00:00,1000000,4
43330-59145,NCC-THANGSAU,2022-05-24 00:00:00,1680000,1,NCC-THANGSAU,2022-05-24 00:00:00,1680000,1
43340-59145,NCC-CVAUTO,2022-05-24 00:00:00,1900000,1,NCC-CVAUTO,2022-05-24 00:00:00,1900000,1
89465-52380,CHPT-MINHANH,2022-05-24 00:00:00,1850000,1,CHPT-MINHANH,2022-03-23 00:00:00,1850000,1
89465-52380,CHPT-MINHANH,2022-05-24 00:00:00,1850000,1,CHPT-MINHANH,2022-03-25 00:00:00,1850000,1
89465-52380,CHPT-MINHANH,2022-05-24 00:00:00,1850000,1,CHPT-MINHANH,2022-04-05 00:00:00,1850000,1
89465-52380,CHPT-MINHANH,2022-05-24 00:00:00,1850000,1,CHPT-MINHANH,2022-05-24 00:00:00,1850000,1
90311-92005,HTAUTOHN,2022-05-24 00:00:00,315000,1,HTAUTOHN,2022-03-11 00:00:00,310000,1
90915-10003,CHPT-MINHANH,2022-05-24 00:00:00,80000,22,CHPT-MINHANH,2022-05-24 00:00:00,80000,22
90916-02653,HTAUTOHN,2022-05-24 00:00:00,1125000,3,HTAUTOHN,2022-05-24 00:00:00,1125000,3
ZA-50TKZ3302CR-ENCS,NCC-NAMBAC,2022-05-24 00:00:00,217920,100,NCC-VUGIA,2022-02-19 00:00:00,210000,90
ZA-50TKZ3302CR-ENCS,NCC-NAMBAC,2022-05-24 00:00:00,217920,100,NCC-VUGIA,2022-03-04 00:00:00,210000,10
ZA-50TKZ3505CR1,NCC-VUGIA,2022-05-24 00:00:00,360000,12,NCC-VUGIA,2022-05-24 00:00:00,360000,12
11201-0C012,HTAUTOHN,2022-05-25 00:00:00,2880000,1,NK-TS,2022-02-26 00:00:00,1881565,2
16400-50384,NCC-KHANGTHANG,2022-05-25 00:00:00,9600000,1,NCC-KHANGTHANG,2022-05-25 00:00:00,9600000,1
48520-8Z109,HTAUTOHN,2022-05-26 00:00:00,2970000,1,HTAUTOHN,2022-02-14 00:00:00,2750000,1
43330-49215,CHPT-MINHANH,2022-05-27 00:00:00,980000,2,CHPT-MINHANH,2022-05-27 00:00:00,980000,2
48157-42030,CHPT-MINHANH,2022-05-27 00:00:00,230000,2,CHPT-MINHANH,2022-05-27 00:00:00,230000,2
48815-42090,HTAUTOHN,2022-05-27 00:00:00,216000,2,CHPT-MINHANH,2022-04-16 00:00:00,210000,1
90311-38067-A,CHPT-MINHANH,2022-05-27 00:00:00,30000,10,CHPT-MINHANH,2022-05-27 00:00:00,30000,10
90311-40004-A,CHPT-MINHANH,2022-05-27 00:00:00,35000,10,CHPT-MINHANH,2022-05-27 00:00:00,35000,10
90311-50036-A,CHPT-MINHANH,2022-05-27 00:00:00,40000,5,CHPT-MINHANH,2022-05-27 00:00:00,40000,5
90311-T0098-A,CHPT-MINHANH,2022-05-27 00:00:00,80000,15,CHPT-MINHANH,2022-05-27 00:00:00,80000,15
T24RV30WB,HTAUTOHN,2022-05-27 00:00:00,162000,2,HTAUTOHN,2022-05-27 00:00:00,162000,2
04479-28180,HTAUTOHN,2022-05-28 00:00:00,530000,1,HTAUTOHN,2022-05-28 00:00:00,530000,1
17220-R6A-J00,KL-DUCPHAT-Q5,2022-05-28 00:00:00,150000,1,KL-DUCPHAT-Q5,2022-05-28 00:00:00,150000,1
31110-R6A-G01,KL-DUCPHAT-Q5,2022-05-28 00:00:00,400000,1,KL-DUCPHAT-Q5,2022-05-28 00:00:00,400000,1
31170-R0A-025,KL-DUCPHAT-Q5,2022-05-28 00:00:00,1100000,1,KL-DUCPHAT-Q5,2022-05-28 00:00:00,1100000,1
31190-R0A-A02,KL-DUCPHAT-Q5,2022-05-28 00:00:00,350000,1,KL-DUCPHAT-Q5,2022-05-28 00:00:00,350000,1
43022-S9A-A01,KL-DUCPHAT-Q5,2022-05-28 00:00:00,500000,1,KL-DUCPHAT-Q5,2022-05-28 00:00:00,500000,1
47731-60300,HTAUTOHN,2022-05-28 00:00:00,260000,3,HTAUTOHN,2022-05-28 00:00:00,260000,3
48510-80637,NCC-TOYOTALONGBIEN,2022-05-28 00:00:00,2918380,1,HTAUTOHN,2022-03-01 00:00:00,2790000,1
48520-80340,NCC-KHANGTHANG,2022-05-28 00:00:00,2650000,1,NCC-KHANGTHANG,2022-05-28 00:00:00,2650000,1
51220-STK-A01,KL-DUCPHAT-Q5,2022-05-28 00:00:00,250000,2,KL-DUCPHAT-Q5,2022-05-28 00:00:00,250000,2
53540-T0A-A01,KL-DUCPHAT-Q5,2022-05-28 00:00:00,250000,1,KL-DUCPHAT-Q5,2022-05-28 00:00:00,250000,1
53560-T0A-A01,KL-DUCPHAT-Q5,2022-05-28 00:00:00,250000,1,KL-DUCPHAT-Q5,2022-02-24 00:00:00,250000,5
53560-T0A-A01,KL-DUCPHAT-Q5,2022-05-28 00:00:00,250000,1,KL-DUCPHAT-Q5,2022-05-28 00:00:00,250000,1
90311-89015,CHPT-MINHANH,2022-05-28 00:00:00,250000,10,NK-TS,2022-03-29 00:00:00,201912,3
19420494,NCC-KHANGTHANG,2022-05-30 00:00:00,9500000,2,NCC-KHANGTHANG,2022-05-19 00:00:00,9500000,2
19420494,NCC-KHANGTHANG,2022-05-30 00:00:00,9500000,2,NCC-KHANGTHANG,2022-05-30 00:00:00,9500000,2
45220-0T010,NCC-KHANGTHANG,2022-05-30 00:00:00,3100000,1,CHPT-MINHANH,2022-01-19 00:00:00,2700000,1
45220-0T010,NCC-KHANGTHANG,2022-05-30 00:00:00,3100000,1,CHPT-MINHANH,2022-02-18 00:00:00,2700000,1
45220-0T010,NCC-KHANGTHANG,2022-05-30 00:00:00,3100000,1,CHPT-MINHANH,2022-03-30 00:00:00,2700000,1
45220-0T010,NCC-KHANGTHANG,2022-05-30 00:00:00,3100000,1,CHPT-MINHANH,2022-04-02 00:00:00,2700000,1
48510-A9896,NCC-KHANGTHANG,2022-05-30 00:00:00,2300000,1,NCC-KHANGTHANG,2022-04-27 00:00:00,2300000,2
48510-A9896,NCC-KHANGTHANG,2022-05-30 00:00:00,2300000,1,NCC-KHANGTHANG,2022-05-30 00:00:00,2300000,1
4G0413031S,NCC-KHANGTHANG,2022-05-30 00:00:00,1350000,2,NCC-KHANGTHANG,2022-05-30 00:00:00,1350000,2
4G0821134,NCC-KHANGTHANG,2022-05-30 00:00:00,980000,1,NCC-KHANGTHANG,2022-05-30 00:00:00,980000,1
4G0863821P,NCC-KHANGTHANG,2022-05-30 00:00:00,2500000,1,NCC-KHANGTHANG,2022-05-30 00:00:00,2500000,1
4G5513035G,NCC-KHANGTHANG,2022-05-30 00:00:00,1350000,2,NCC-KHANGTHANG,2022-05-30 00:00:00,1350000,2
83320-0K010,CHPT-MINHANH,2022-05-30 00:00:00,690000,10,CHPT-MINHANH,2022-05-07 00:00:00,690000,2
83320-0K010,CHPT-MINHANH,2022-05-30 00:00:00,690000,10,CHPT-MINHANH,2022-05-30 00:00:00,690000,10
89543-0T011,NCC-CVAUTO,2022-05-30 00:00:00,3050000,1,NCC-CVAUTO,2022-05-30 00:00:00,3050000,1
SL-T020,HTAUTOHN,2022-05-30 00:00:00,180000,100,HTAUTOHN,2022-05-24 00:00:00,180000,200
SL-T020,HTAUTOHN,2022-05-30 00:00:00,180000,100,HTAUTOHN,2022-05-30 00:00:00,180000,100
SR-H500,QUANGVU,2022-05-30 00:00:00,200000,2,QUANGVU,2022-05-30 00:00:00,200000,2
11310-0C013,NCC-THAILAND,2022-05-31 00:00:00,5815692,3,NCC-THAILAND,2022-05-31 00:00:00,5815692,3
12363-31033,CHPT-MINHANH,2022-05-31 00:00:00,1270000,1,CHPT-MINHANH,2022-01-06 00:00:00,1270000,1
12363-31033,CHPT-MINHANH,2022-05-31 00:00:00,1270000,1,CHPT-MINHANH,2022-05-31 00:00:00,1270000,1
16380-38020,HTAUTOHN,2022-05-31 00:00:00,2295000,1,HTAUTOHN,2022-04-20 00:00:00,2295000,1
16380-38020,HTAUTOHN,2022-05-31 00:00:00,2295000,1,HTAUTOHN,2022-05-31 00:00:00,2295000,1
23300-75140,NCC-THAILAND,2022-05-31 00:00:00,491147,20,NCC-THAILAND,2022-04-02 00:00:00,485926,78
44320-60370,CHPT-MINHANH,2022-05-31 00:00:00,7100000,1,CHPT-MINHANH,2022-05-31 00:00:00,7100000,1
46530-34010,CHPT-MINHANH,2022-05-31 00:00:00,280000,4,CHPT-MINHANH,2022-05-31 00:00:00,280000,4
47201-0D770,NCC-THAILAND,2022-05-31 00:00:00,1585582,1,NCC-THAILAND,2022-05-31 00:00:00,1585582,1
87107-06060,NCC-THAILAND,2022-05-31 00:00:00,596900,2,NK-CHI,2022-05-13 00:00:00,590382,1
8PK2410E-SUN,HTAUTOHN,2022-05-31 00:00:00,410000,1,HTAUTOHN,2022-03-22 00:00:00,410000,1
8PK2410E-SUN,HTAUTOHN,2022-05-31 00:00:00,410000,1,HTAUTOHN,2022-05-27 00:00:00,410000,1
8PK2410E-SUN,HTAUTOHN,2022-05-31 00:00:00,410000,1,HTAUTOHN,2022-05-31 00:00:00,410000,1
90310-50001,NCC-THAILAND,2022-05-31 00:00:00,82330,1,NCC-THAILAND,2022-05-31 00:00:00,82330,1
90916-T2028,NCC-THAILAND,2022-05-31 00:00:00,161113,40,NCC-THAILAND,2022-04-02 00:00:00,148165,100
A-T0-121,NCC-HUNGCUONG,2022-05-31 00:00:00,2500000,1,NCC-HUNGCUONG,2022-05-31 00:00:00,2500000,1
T21VG04F,NCC-THAILAND,2022-05-31 00:00:00,28390,102,NCC-THAILAND,2022-04-25 00:00:00,28088,48
16100-39516,NCC-KHANGTHANG,2022-06-01 00:00:00,1650000,3,NCC-KHANGTHANG,2022-06-01 00:00:00,1650000,3
2H0422831,NCC-KHANGTHANG,2022-06-01 00:00:00,750000,2,NCC-KHANGTHANG,2022-06-01 00:00:00,750000,2
45510-0T010,HTAUTOHN,2022-06-01 00:00:00,9450000,1,NK-TS,2022-03-29 00:00:00,6910793,3
48530-59177,CHPT-MINHANH,2022-06-01 00:00:00,470000,10,CHPT-MINHANH,2022-06-01 00:00:00,470000,10
GFT-222,QUANGVU,2022-06-01 00:00:00,580000,1,QUANGVU,2022-06-01 00:00:00,580000,1
SEI-3641L,QUANGVU,2022-06-01 00:00:00,170000,1,QUANGVU,2022-06-01 00:00:00,170000,1
T25920,HTAUTOHN,2022-06-01 00:00:00,140000,4,HTAUTOHN,2022-06-01 00:00:00,140000,4
43022-TBA-A02,KL-DUCPHAT-Q5,2022-06-02 00:00:00,500000,1,KL-DUCPHAT-Q5,2022-06-02 00:00:00,500000,1
15330-38010,CHPT-MINHANH,2022-06-03 00:00:00,1000000,2,CHPT-MINHANH,2022-06-03 00:00:00,1000000,2
44200-35070,NCC-KHANGTHANG,2022-06-03 00:00:00,20500000,1,NCC-KHANGTHANG,2022-06-03 00:00:00,20500000,1
45470-49025,CHPT-MINHANH,2022-06-03 00:00:00,820000,1,CHPT-MINHANH,2022-06-03 00:00:00,820000,1
DDS-016,NK-IDAS,2022-06-03 00:00:00,110560,400,NK-IDAS,2022-06-03 00:00:00,110560,400
DDS-018,NK-IDAS,2022-06-03 00:00:00,115459,400,NK-IDAS,2022-06-03 00:00:00,115459,400
DDS-026,NK-IDAS,2022-06-03 00:00:00,172838,400,NK-IDAS,2022-06-03 00:00:00,172838,400
JK272000-6910,NK-IDAS,2022-06-03 00:00:00,119890,2000,NK-IDAS,2022-06-03 00:00:00,119890,2000
JK272000-6930,NK-IDAS,2022-06-03 00:00:00,142516,3550,HTAUTOHN,2022-01-26 00:00:00,139000,200
